ICP.Seq.No,Group,Sample,Type,Easting,Northing,pH,EC.?S.cm,Al,As,Ba,Ca,Cd,Ce,Cr,Cu,Fe,Gd,K,La,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,S,Sr,Th,V,Y,Zn
ENVT_AR_TA_2,2,Sed1,NA,,,4.40,,4322,32.68,28.50,2022,0.26,8.96,14.83,54.06,12467,1.48,200.2,4.34,625.74,22.25,2.76,148.5,5.20,4.20,170.9,253.14,13136.62,11.44,1.65,19.98,6.47,269.32
ENVT_AR_TA_3,2,Sed2,Sediment,391338,6466467,5.14,,1625,1.73,11.08,558,0.11,3.15,4.73,15.38,2661,0.63,99.2,1.92,183.75,8.63,0.47,90.6,2.06,1.44,63.4,71.90,2435.78,3.35,0.58,5.60,1.99,68.11
ENVT_AR_TA_21,3,1,Soil,391079.1,6466659,7.76,304.0,1844,1.38,16.43,24931,0.08,1.19,7.43,5.24,1853,0.40,119.7,1.92,1402.86,26.69,0.16,334.9,0.12,0.91,336.2,18.73,395.77,164.00,0.93,4.23,1.84,35.40
ENVT_AR_TA_22,3,2,Soil,391080,6466664,8.63,163.9,2925,2.96,16.81,11664,0.07,7.18,10.24,5.67,2623,0.73,212.5,3.56,686.80,50.95,0.21,193.4,2.11,1.77,306.2,22.36,367.51,78.88,1.19,5.61,2.63,32.97
ENVT_AR_TA_23,3,3,Soil,391136,6466671,6.56,167.6,2668,2.30,26.13,1615,0.05,3.99,5.69,6.13,3161,0.80,180.3,1.63,539.43,67.32,0.23,165.2,2.16,1.10,483.9,13.09,484.38,8.69,0.60,5.20,3.38,33.91
ENVT_AR_TA_24,3,4,Soil,391118,6466699,7.16,80.3,1641,1.45,6.42,1217,0.06,3.12,7.26,2.30,1618,0.37,102.4,1.24,183.28,25.69,0.13,59.2,1.51,3.59,115.3,7.75,139.88,6.93,0.81,3.74,0.96,14.15
ENVT_AR_TA_25,3,5,Soil,391175,6466681,6.66,170.4,2344,1.67,13.92,1400,0.03,3.12,6.83,5.07,2010,0.61,284.1,1.09,444.68,67.80,0.23,176.6,1.31,0.84,297.9,6.95,492.35,6.93,NA,3.88,1.48,24.41
ENVT_AR_TA_26,3,6,Soil,391190,6466696,6.89,98.5,3447,2.30,15.32,1557,0.05,7.06,8.29,6.05,2934,0.60,240.1,2.91,464.56,59.47,0.27,160.0,2.85,2.00,309.9,15.38,406.80,8.09,0.75,6.13,2.03,31.57
ENVT_AR_TA_27,3,7,Soil,391257,6466658,6.92,133.1,2285,2.39,20.38,3046,0.07,5.83,7.28,8.36,2759,0.80,267.0,2.74,566.65,127.42,0.27,172.6,2.59,1.86,435.3,11.72,504.51,17.67,0.55,5.69,2.55,53.20
ENVT_AR_TA_28,3,Sed1,Sediment,391383,6466424,6.12,NA,2716,2.33,15.13,1296,0.11,4.74,10.15,30.30,3215,0.63,120.8,2.41,244.01,27.90,0.53,91.4,2.36,3.11,139.4,114.25,1066.58,6.68,1.17,6.77,2.36,63.30
ENVT_AR_TA_29,3,Sed2,Sediment,391380,6466434,5.89,NA,2830,4.00,10.20,902,0.10,6.09,8.91,25.44,4672,0.86,90.5,2.83,230.71,12.52,0.57,79.7,2.98,2.53,137.3,135.21,1160.26,5.12,1.04,9.38,3.40,73.81
ENVT_AR_TA_13,4,1,Soil,391248,6466698,6.70,NA,2492,1.75,9.87,1383,0.07,3.44,6.35,4.44,1885,0.36,149.2,1.21,352.36,44.27,0.18,136.8,1.15,21.34,230.6,7.87,350.28,7.47,0.48,3.87,1.18,23.07
ENVT_AR_TA_14,4,2,Soil,391266,6466698,6.88,NA,2256,1.77,7.94,1721,0.03,3.03,7.46,2.94,2008,0.37,127.5,1.41,285.90,27.44,0.16,93.9,1.04,0.86,171.7,8.50,216.72,11.48,0.57,4.56,1.14,23.60
ENVT_AR_TA_15,4,3,Soil,391106,6466647,7.28,NA,3163,2.31,23.59,5872,0.13,5.28,8.39,8.46,3168,0.72,236.7,2.22,692.91,98.48,0.30,160.8,1.94,2.41,465.8,26.39,549.58,38.38,0.66,6.43,2.63,68.85
